audio file path;album metadata;album directory
C:\Music\Josh White\Josh White-Paul And Silas Bound In Jail.mp3;Blues Singer (1932-1936);Blues Singer (1932-1936)
C:\Music\Josh White\Josh White-Peter.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-Prison BOund Blues.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-Raise A Ruckus.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-Scandalize My Name.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-Silicosis Is Killin' Me.mp3;Blues Singer (1932-1936);Blues Singer (1932-1936)
C:\Music\Josh White\Josh White-So Sonn In The Mornin'.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-Sometime (w-Sonny Terry & Brownie McGhee).mp3;"From New York To London - ""Made In New York""";From New York To London - -Made In New York-
C:\Music\Josh White\Josh White-St. James Infirmary.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-Stormy Weather No. 1.mp3;Blues Singer (1932-1936);Blues Singer (1932-1936)
C:\Music\Josh White\Josh White-Strange Fruit.mp3;"From New York To London - ""Made In New York""";From New York To London - -Made In New York-
C:\Music\Josh White\Josh White-T. B. Blues.mp3;"From New York To London - ""Made In London""";From New York To London - -Made In London-
C:\Music\Josh White\Josh White-Take A Gal Like You.mp3;"From New York To London - ""Made In London""";From New York To London - -Made In London-
C:\Music\Josh White\Josh White-Takin' Names.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-The Butterfly Song.mp3;"From New York To London - ""Made In London""";From New York To London - -Made In London-
C:\Music\Josh White\Josh White-The Foggy, Foggy Dew.mp3;"From New York To London - ""Made In London""";From New York To London - -Made In London-
C:\Music\Josh White\Josh White-The House Of The Risin' Sun.mp3;"From New York To London - ""Made In New York""";From New York To London - -Made In New York-
C:\Music\Josh White\Josh White-The Lass With The Delicate Air.mp3;"From New York To London - ""Made In London""";From New York To London - -Made In London-
C:\Music\Josh White\Josh White-Timber (Jerry The Mule).mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-Told My Captain.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Josh White\Josh White-Waltzing Matilda.mp3;"From New York To London - ""Made In New York""";From New York To London - -Made In New York-
C:\Music\Josh White\Josh White-Wanderings.mp3;"From New York To London - ""Made In London""";From New York To London - -Made In London-
C:\Music\Josh White\Josh White-Watercress.mp3;"From New York To London - ""Made In New York""";From New York To London - -Made In New York-
C:\Music\Josh White\Josh White-Welfare Blues.mp3;Blues Singer (1932-1936);Blues Singer (1932-1936)
C:\Music\Josh White\Josh White-When The Sun Goes Down (w-Libby Holman).mp3;"From New York To London - ""Made In New York""";From New York To London - -Made In New York-
C:\Music\Josh White\Josh White-Woman Sure Is A Curious Critter.mp3;Josh At Midnight - Ballads & Blues;Josh At Midnight - Ballads & Blues
C:\Music\Journey\Journey-Don't Stop Believin'.mp3;Escape;Escape
C:\Music\Journey\Journey-Escape.mp3;Escape;Escape
C:\Music\Journey\Journey-Keep on Runnin'.mp3;Escape;Escape
C:\Music\Journey\Journey-Lay It Down.mp3;Escape;Escape
C:\Music\Journey\Journey-Lovin', Touchin', Squeezin'.mp3;Journey's Greatest Hits;Journey's Greatest Hits
C:\Music\Journey\Journey-Stone in Love.mp3;Escape;Escape
C:\Music\Journey\Journey-Wheel in the Sky.mp3;Journey's Greatest Hits;Journey's Greatest Hits
C:\Music\Julian Lennon\Julian Lennon-Too Late For Goodbyes.mp3;Valotte;Valotte
C:\Music\Julian Lennon\Julian Lennon-Valotte.mp3;Valotte;Valotte
C:\Music\Junior Parker\Junior Parker - The Things I Used To Do.mp3;Best Of The Blues, Vol. 1;Best Of The Blues, Vol. 1
C:\Music\Junior White\Junior Wells-(I Can't Get No) Satisfaction.mp3;Paint It Blue: Songs Of The Rolling Stones;Paint It Blue- Songs Of The Rolling Stones
C:\Music\Kansas\Kansas-Carry on Wayward Son.mp3;The Best of Kansas;The Best of Kansas
C:\Music\Kate Bush\Kate Bush-Wuthering Heights.mp3;The Kick Inside;The Kick Inside
C:\Music\Kathy Mattea\Kathy Mattea-Daddy's Hands.mp3;All Star Country;All Star Country
C:\Music\Kathy Mattea\Kathy Mattea-Eighteen Wheels and a Dozen Roses.mp3;Untasted Honey;Untasted Honey
C:\Music\Kathy Mattea\Kathy Mattea-Walking Away A Winner.mp3;Walking Away A Winner;Walking Away A Winner
C:\Music\Keb' Mo'\Keb' Mo' - I'm On Your Side.mp3;The Blues;The Blues
C:\Music\Keith Woodrow\Keith Woodrow - Don't Tell Your Children.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - Double Trouble.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - Floatin' Bridge.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - Four Till Late.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - Highwater Blues.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - If I Had Possession Over Judgement Day.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - Love In Vain.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - Love You Pretty Baby.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - Me And The Devil.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - Standin' Around Crying.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - Stones In My Passway.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - Stop Breaking Down.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Keith Woodrow\Keith Woodrow - You Shook Me.mp3;Don't Tell Your Children;Don't Tell Your Children
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-Capman Bootman.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-Dock Boggs Country Blues.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-Goodnight Irene.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-Hobo's Son.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-Katy.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-Many A Time.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-Piece By Piece.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-River Rat Jimmy.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-The House Carpenter.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-Train Carried My Girl From Town.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Kelly Joe Phelps\Kelly Joe Phelps-Wandering Away.mp3;Shine Eyed Mister Zen;Shine Eyed Mister Zen
C:\Music\Ken Hamm\Ken Hamm-32-20 Blues.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Bourgeois Blues.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Bring It On Home.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Can't Judge A Book - Who Do You Love.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Candyman Blues.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Come In My Kitchen.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Crow Jane.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Dig Myself A Hole.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Duncan And Brady.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-From A Buick Six.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-From Four Until Late.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-I Can't Be Satisfied.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Pony Boy.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Poor Boy Long Ways From Home.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Prodigal Son.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Relax Your Mind.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Seventh Son.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-Shake It and Break It.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-She Moves Me.mp3;Galvanized!;Galvanized!
C:\Music\Ken Hamm\Ken Hamm-When You Got A Good Friend.mp3;Galvanized!;Galvanized!
C:\Music\Kenny Loggins\Kenny Loggins-Caddy Shack Theme.mp3;Yesterday, Today, Tomorrow - The Greatest Hits;Yesterday, Today, Tomorrow - The Greatest Hits
C:\Music\Kenny Loggins\Kenny Loggins-Danger Zone.mp3;Yesterday, Today, Tomorrow -The Greatest Hits;Yesterday, Today, Tomorrow -The Greatest Hits
C:\Music\Kenny Loggins\Kenny Loggins-Forever.mp3;Yesterday, Today, Tomorrow: The Greatest Hits of Kenny Loggins;Yesterday, Today, Tomorrow- The Greatest Hits of Kenny Loggins
C:\Music\Kenny Loggins\Kenny Loggins-The Last Unicorn.mp3;Return to Pooh Corner;Return to Pooh Corner
C:\Music\Kid Rock\Kid Rock-All Summer Long.mp3;Rock N Roll Jesus;Rock N Roll Jesus
C:\Music\Kid Rock\Kid Rock-Amen.mp3;Rock N Roll Jesus;Rock N Roll Jesus
C:\Music\Kim Carnes\Kim Carnes-Bette Davis Eyes.mp3;Mistaken Identity;Mistaken Identity
C:\Music\Kim Mitchell\Kim Mitchell-Go For Soda.mp3;Akimbo Alogo;Akimbo Alogo
C:\Music\Kim Mitchell\Kim Mitchell-Lager & Ale.mp3;Akimbo Alogo;Akimbo Alogo
C:\Music\Kiss\Kiss-Domino.mp3;Revenge;Revenge
C:\Music\Klaatu\Klaatu-Calling Occupants Of Interplanetary Craft.mp3;Endangered Species;Endangered Species
C:\Music\Koko Taylor\Koko Taylor-Big Boss Man.mp3;Blues Legends;Blues Legends
C:\Music\Koko Taylor\Koko Taylor-I Got What It Takes.mp3;Blues Favorites;Blues Favorites
C:\Music\Koko Taylor\Koko Taylor-Wang Dang Doodle.mp3;Greatest Blues Legends;Greatest Blues Legends
C:\Music\Kylie Minogue\Kylie Minogue-I cant get you out of my head.mp3;Fever;Fever
C:\Music\Kylie Minogue\Kylie Minogue-The Loco-Motion.mp3;Kylie;Kylie
C:\Music\Lacy Gibson\Lacy Gibson-You Better Be Sure.mp3;Still Got The Blues, Vol:4;Still Got The Blues, Vol-4
C:\Music\Larry Davis\Larry Davis-Angels In Houston.mp3;Whole Lotta...Blues - Legends Of Texas Blues;Whole Lotta...Blues - Legends Of Texas Blues
