audio file path;album metadata;album directory
C:\Music\Madonna\Madonna-Like a Prayer.mp3;Like a Prayer;Like a Prayer
C:\Music\Mae Moore\Mae Moore-Charlie Picked His Apple.mp3;Oh My!;Oh My!
C:\Music\Mae Moore\Mae Moore-Compass.mp3;Oh My!;Oh My!
C:\Music\Mae Moore\Mae Moore-Don't Miss My Misery.mp3;Oh My!;Oh My!
C:\Music\Mae Moore\Mae Moore-Here and Gone.mp3;Oh My!;Oh My!
C:\Music\Mae Moore\Mae Moore-Hold On.mp3;Oh My!;Oh My!
C:\Music\Mae Moore\Mae Moore-In Your Arms Again.mp3;Oh My!;Oh My!
C:\Music\Mae Moore\Mae Moore-Little Wing.mp3;Oh My!;Oh My!
C:\Music\Mae Moore\Mae Moore-Oh My.mp3;Oh My!;Oh My!
C:\Music\Mae Moore\Mae Moore-Stepping Through Fire.mp3;Oh My!;Oh My!
C:\Music\Mae Moore\Mae Moore-Tell Me.mp3;Oh My!;Oh My!
C:\Music\Mae Moore\Mae Moore-Troubled Ways.mp3;Oh My!;Oh My!
C:\Music\Maggie Reilly\Maggie Reilly-Every Single Heartbeat.mp3;Midnight Sun;Midnight Sun
C:\Music\Maggie Reilly\Maggie Reilly-Everytime We Touch.mp3;Echoes;Echoes
C:\Music\Magic Sam\Magic Sam - Gangster Blues.mp3;The Blues For The Road;The Blues For The Road
C:\Music\Magic Sam\Magic Sam-Barbecue Blues.mp3;The Blues As It Was;The Blues As It Was
C:\Music\Marc Cohn\Marc Cohn-Walking in Memphis.mp3;Marc Cohn;Marc Cohn
C:\Music\Marcia Ball\Marcia Ball-Don't You Know I Love You.mp3;Louisiana Scrapbook;Louisiana Scrapbook
C:\Music\Maria Muldaur\Maria Muldaur-A Woman Alone With The Blues.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-Ain't What You Used To Have.mp3;Sweet Lovin' Ol' Soul;Sweet Lovin' Ol' Soul
C:\Music\Maria Muldaur\Maria Muldaur-Black Coffee.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-Crazy Cryin' Blues.mp3;Sweet Lovin' Ol' Soul: Old Highway 61 Revisited;Sweet Lovin' Ol' Soul- Old Highway 61 Revisited
C:\Music\Maria Muldaur\Maria Muldaur-Decent Woman Blues.mp3;Sweet Lovin' Ol' Soul;Sweet Lovin' Ol' Soul
C:\Music\Maria Muldaur\Maria Muldaur-Everything Is Moving Too Fast.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-Fever.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-For Every Man There's A Woman.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-I Am Sailin'.mp3;Sweet Lovin' Ol' Soul: Old Highway 61 Revisited;Sweet Lovin' Ol' Soul- Old Highway 61 Revisited
C:\Music\Maria Muldaur\Maria Muldaur-I Don't Know Enough About You.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-I'm Goin' Back.mp3;Sweet Lovin' Ol' Soul;Sweet Lovin' Ol' Soul
C:\Music\Maria Muldaur\Maria Muldaur-I'm Gonna Go Fishin'.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-Long as I Can See You Smile.mp3;Sweet Lovin' Ol' Soul: Old Highway 61 Revisited;Sweet Lovin' Ol' Soul- Old Highway 61 Revisited
C:\Music\Maria Muldaur\Maria Muldaur-Lookin' the World Over.mp3;Sweet Lovin' Ol' Soul: Old Highway 61 Revisited;Sweet Lovin' Ol' Soul- Old Highway 61 Revisited
C:\Music\Maria Muldaur\Maria Muldaur-Midnight At The Oasis (I'm A Woman).mp3;I'm A Woman;I'm A Woman
C:\Music\Maria Muldaur\Maria Muldaur-Moments Like This.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-Separation Blues (With Bonnie Raitt).mp3;Naughty Bawdy & Blue;Naughty Bawdy & Blue
C:\Music\Maria Muldaur\Maria Muldaur-Some Cats Know.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-Sweet Lovin' Ol' Soul.mp3;Sweet Lovin' Ol' Soul;Sweet Lovin' Ol' Soul
C:\Music\Maria Muldaur\Maria Muldaur-Take A Stand.mp3;Sweet Lovin' Ol' Soul;Sweet Lovin' Ol' Soul
C:\Music\Maria Muldaur\Maria Muldaur-The Freedom Train.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-Tricks Ain't Walkin'.mp3;Sweet Lovin' Ol' Soul: Old Highway 61 Revisited;Sweet Lovin' Ol' Soul- Old Highway 61 Revisited
C:\Music\Maria Muldaur\Maria Muldaur-Waitin' For The Train To Come In.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Maria Muldaur\Maria Muldaur-Winter Weather.mp3;A Woman Alone With The Blues;A Woman Alone With The Blues
C:\Music\Marion Raven\Marion Raven-It's All Coming Back to Me Now.wma;Bat out of Hell III: The Monster Is Loose;Bat out of Hell III- The Monster Is Loose
C:\Music\Mark Chestnutt\Mark Chesnutt-Goin' Through The Big D.mp3;What A Way To Live;What A Way To Live
C:\Music\Martha & The Vandellas\Martha & the Vandellas-Nowhere to Run.mp3;Good Morning Vietnam;Good Morning Vietnam
C:\Music\Martina McBride\MARTINA MCBRIDE-INDEPENDENCE DAY.MP3;The Way That I Am;The Way That I Am
C:\Music\Marty Stuart\Marty Stuart & Travis Tritt-Double Trouble.mp3;Restless Kind;Restless Kind
C:\Music\Marty Stuart\Marty Stuart-Burn Me Down.mp3;The Marty Party Hit Pack;The Marty Party Hit Pack
C:\Music\Marty Stuart\Marty Stuart-Cry Cry Cry.mp3;Hillbilly Rock;Hillbilly Rock
C:\Music\Marty Stuart\Marty Stuart-Doin' My Time.mp3;This One's Gonna Hurt You;This One's Gonna Hurt You
C:\Music\Marty Stuart\Marty Stuart-Hey Baby.mp3;This One's Gonna Hurt You;This One's Gonna Hurt You
C:\Music\Marty Stuart\Marty Stuart-High on a Mountain Top.mp3;This One's Gonna Hurt You;This One's Gonna Hurt You
C:\Music\Marty Stuart\Marty Stuart-Honkey Tonk Crowd.mp3;This One's Gonna Hurt You;This One's Gonna Hurt You
C:\Music\Marty Stuart\Marty Stuart-Honky Tonkin's What I Do Best (Duet With Travis Tritt).mp3;Honky Tonkin's What I Do Best;Honky Tonkin's What I Do Best
C:\Music\Marty Stuart\Marty Stuart-Me & Hank & Jumpin' Jack Flash.mp3;This One's Gonna Hurt You;This One's Gonna Hurt You
C:\Music\Marty Stuart\Marty Stuart-Tempted.mp3;The Marty Party Hit Pack;The Marty Party Hit Pack
C:\Music\Mary Chapin Carpenter\Mary Chapin Carpenter-Down At The Twist And Shout.mp3;Shooting Straight In The Dark;Shooting Straight In The Dark
C:\Music\Matchbox Twenty\Matchbox 20-Breakfast at Tiffany's.mp3;Home;Home
C:\Music\Matchbox Twenty\Matchbox 20-Hows It gonna be.mp3;A Collection;A Collection
C:\Music\Matchbox Twenty\Matchbox 20-Mad Season.MP3;Mad Season;Mad Season
C:\Music\Matchbox Twenty\Matchbox 20-Push.mp3;Yourself Or Someone Like You;Yourself Or Someone Like You
C:\Music\Matchbox Twenty\Matchbox 20-Shame.mp3;Yourself Or Someone Like You;Yourself Or Someone Like You
C:\Music\Matchbox Twenty\Matchbox 20-Unwell.mp3;More Than You Think You Are;More Than You Think You Are
C:\Music\Max Webster\Max Webster-Diamonds Diamonds.mp3;20th Century Masters;20th Century Masters
C:\Music\Max Webster\Max Webster-paradise skies.mp3;A Million Vacations;A Million Vacations
C:\Music\Melissa Etheridge\Melissa Etheridge-Bring Me Some Water.mp3;Melissa Etheridge;Melissa Etheridge
C:\Music\Memphis Minnie\Memphis Minnie McCoy-Weary Woman Blues.mp3;Best Of The Blues, Vol. 2;Best Of The Blues, Vol. 2
C:\Music\Memphis Minnie\Memphis Minnie-Me And My Chauffeur Blues.mp3;Nothin' But The Blues;Nothin' But The Blues
C:\Music\Memphis Minnie\Memphis Minnie-Nothin' In Ramblin'.mp3;Legends Of The Blues: Volume 1;Legends Of The Blues- Volume 1
C:\Music\Memphis Slim\Memphis Slim & Buddy Guy - When Buddy Comes To Town.mp3;Best Of Blues;Best Of Blues
C:\Music\Memphis Slim\Memphis Slim & Roosevelt Sykes - Mr. Sykes Blues.mp3;Best Of Blues;Best Of Blues
C:\Music\Memphis Slim\Memphis Slim - Cow Cow Blues.mp3;Every Day I Have The Blues;Every Day I Have The Blues
C:\Music\Memphis Slim\Memphis Slim - Going Back To Tennessee.mp3;Best Of Blues;Best Of Blues
C:\Music\Memphis Slim\Memphis Slim - How Long Blues.mp3;Its All About the Blues;Its All About the Blues
C:\Music\Memphis Slim\Memphis Slim - Lonesome In My Bedroom.mp3;The Blues For The Road;The Blues For The Road
C:\Music\Memphis Slim\Memphis Slim - Three Women Blues.mp3;Its All About the Blues;Its All About the Blues
C:\Music\Memphis Slim\Memphis Slim Cannned Heat - When I Was Young.mp3;Best Of Blues;Best Of Blues
C:\Music\Memphis Slim\Memphis Slim-Born With The Blues.mp3;The Blues As It Was;The Blues As It Was
C:\Music\Memphis Slim\Memphis Slim-Rockin' Chair Blues.mp3;Every Day I Have The Blues;Every Day I Have The Blues
C:\Music\Men At Work\Men At Work-Down Under.mp3;Men At Work: Super Hits;Men At Work- Super Hits
C:\Music\Men At Work\Men At Work-Who Can It Be Now.mp3;Greatest Hits Volume II;Greatest Hits Volume II
C:\Music\Michelle Wright\Michelle Wright-He Would Be Sixteen.mp3;Greatest Hits;Greatest Hits
C:\Music\Mickey Baker\Mickey Baker - Midnight Midnight.mp3;Atlantic Blues Guitar;Atlantic Blues Guitar
C:\Music\Mickey Baker\Mickey Baker - Sun Is Going Down.mp3;Best Of Blues;Best Of Blues
C:\Music\Mickey Baker\Mickey Baker - Sweet Home Chicago.mp3;Best Of Blues;Best Of Blues
C:\Music\Midnight Oil\Midnight Oil-Beds Are Burning.mp3;Diesel And Dust;Diesel And Dust
C:\Music\Midnight Oil\Midnight Oil-Blue Sky Mine.mp3;Blue Sky Mining;Blue Sky Mining
C:\Music\Mike Bloomfield\Mike Bloomfield-Memphis Radio Blues.mp3;American Roots Songbook - The Blues;American Roots Songbook - The Blues
C:\Music\Mike Oldfield\Mike Oldfield - Crimes of Passion.mp3;Discovery;Discovery
C:\Music\Mike Oldfield\Mike Oldfield - Crystal Gazing.mp3;Discovery;Discovery
C:\Music\Mike Oldfield\Mike Oldfield - Poison Arrows.mp3;Discovery;Discovery
C:\Music\Mike Oldfield\Mike Oldfield - Talk About Your Life.mp3;Discovery;Discovery
C:\Music\Mike Oldfield\Mike Oldfield - To France.mp3;Discovery;Discovery
C:\Music\Mike Oldfield\Mike Oldfield - Tricks of The Light.mp3;Discovery;Discovery
C:\Music\Mike Oldfield\Mike Oldfield - Tubular Bells (Part One).mp3;Tubular Bells;Tubular Bells
C:\Music\Mike Oldfield\Mike Oldfield - Tubular Bells (Part Two).mp3;Tubular Bells;Tubular Bells
C:\Music\Mike Oldfield\Mike Oldfield-Crises.mp3;Crises;Crises
C:\Music\Mike Oldfield\Mike Oldfield-Family Man.mp3;Five Miles Out;Five Miles Out
C:\Music\Mike Oldfield\Mike Oldfield-Five Miles Out.mp3;Five Miles Out;Five Miles Out
C:\Music\Mike Oldfield\Mike Oldfield-Flying Start.mp3;Islands;Islands
C:\Music\Mike Oldfield\Mike Oldfield-Foreign Affair.mp3;Crises;Crises
C:\Music\Mike Oldfield\Mike Oldfield-Islands.mp3;islands;islands
C:\Music\Mike Oldfield\Mike Oldfield-Magic Touch.mp3;Islands;Islands
C:\Music\Mike Oldfield\Mike Oldfield-Man In The Rain.mp3;Tubular Bells III;Tubular Bells III
C:\Music\Mike Oldfield\Mike Oldfield-Moonlight Shadow.mp3;Crises;Crises
C:\Music\Mike Oldfield\Mike Oldfield-Mount Teidi.mp3;Five Miles Out;Five Miles Out
C:\Music\Mike Oldfield\Mike Oldfield-North Point.mp3;Islands;Islands
C:\Music\Mike Oldfield\Mike Oldfield-Orabidoo.mp3;Five Miles Out;Five Miles Out
C:\Music\Mike Oldfield\Mike Oldfield-Taurus 3.mp3;Crises;Crises
C:\Music\Mike Oldfield\Mike Oldfield-Taurus II.mp3;Five Miles Out;Five Miles Out
C:\Music\Mike Oldfield\Mike Oldfield-The Time Has Come.mp3;Islands;Islands
C:\Music\Mike Oldfield\Mike Oldfield-The Wind Chimes Part One.mp3;Islands;Islands
C:\Music\Mike Oldfield\Mike Oldfield-The Wind Chimes Part Two.mp3;Islands;Islands
C:\Music\Mike and the Mechanics\Mike and the Mechanics-All I Need is a Miracle.mp3;Top Hits of the 80s: Biggest Hits;Top Hits of the 80s- Biggest Hits
C:\Music\Mississppi Fred McDowell\Mississippi Fred McDowell - Shake 'Em Down.mp3;Atlantic Blues Guitar;Atlantic Blues Guitar
C:\Music\Mississppi Fred McDowell\Mississippi Fred McDowell - You Got To Move.mp3;The Great Tomato Blues Package;The Great Tomato Blues Package
C:\Music\Mississppi John Hurt\Mississippi John Hurt-Ain't No Tellin'.mp3;Legends Of The Blues: Volume 1;Legends Of The Blues- Volume 1
C:\Music\Mississppi John Hurt\Mississippi John Hurt-Big Leg Blues.mp3;Nothin' But The Blues;Nothin' But The Blues
C:\Music\Molly Hatchet\Molly Hatchet-Flirtin' With Disaster.mp3;Flirtin' With Disaster;Flirtin' With Disaster
C:\Music\Monkees\The Monkees-I'm A Believer.mp3;The Monkees Greatest Hits;The Monkees Greatest Hits
C:\Music\Monkees\The Monkees-Last Train To Clarksville.mp3;The Monkees Greatest Hits;The Monkees Greatest Hits
C:\Music\Moody Blues\Moody Blues-In Your Wildest Dreams.mp3;The Other Side Of Life;The Other Side Of Life
C:\Music\Moody Blues\The Moody Blues-Knights In White Satin.mp3;Legend of a Band;Legend of a Band
C:\Music\Motley Crue\Motley Crue-GirlsGirlsGirls!.mp3;Decade of Decadence;Decade of Decadence
C:\Music\Motley Crue\Motley Crue-Smokin In The Boys Room.mp3;Decade of Decadence;Decade of Decadence
C:\Music\Mr. Mister\Mister Mister-Broken Wings.mp3;Welcome to the Real World;Welcome to the Real World
C:\Music\Muddy Waters\Muddy Waters - Gypsy Woman.mp3;Every Day I Have The Blues;Every Day I Have The Blues
C:\Music\Muddy Waters\Muddy Waters - Mannish Boy.mp3;The Blues;The Blues
C:\Music\Muddy Waters\Muddy Waters - Outskirts Of Town.mp3;The Blues Collection;The Blues Collection
C:\Music\Muddy Waters\Muddy Waters - Rock Me.mp3;Best Of The Blues, Vol. 1;Best Of The Blues, Vol. 1
C:\Music\Muddy Waters\Muddy Waters - You Gonna Need My Help.mp3;The Blues For The Road;The Blues For The Road
C:\Music\Muddy Waters\Muddy Waters-All Aboard.mp3;Muddy & The Wolf;Muddy & The Wolf
C:\Music\Muddy Waters\Muddy Waters-Blow Wind Blow.mp3;Muddy & The Wolf;Muddy & The Wolf
C:\Music\Muddy Waters\Muddy Waters-Can't Get No Grindin' (What's The Matter With The Mean).mp3;Blues Favorites;Blues Favorites
C:\Music\Muddy Waters\Muddy Waters-Can't Lose What You Ain't Never Had.mp3;Muddy & The Wolf;Muddy & The Wolf
C:\Music\Muddy Waters\Muddy Waters-Diamonds At Your Feet.mp3;The Blues Collection;The Blues Collection
C:\Music\Muddy Waters\Muddy Waters-Funky Butt.mp3;Greatest Blues Legends;Greatest Blues Legends
C:\Music\Muddy Waters\Muddy Waters-Hard Day Blues.mp3;Legends Of The Blues: Volume 1;Legends Of The Blues- Volume 1
C:\Music\Muddy Waters\Muddy Waters-Hard Loser.mp3;Blues Legends;Blues Legends
C:\Music\Muddy Waters\Muddy Waters-I Feel Like Going Home.mp3;Every Day I Have The Blues;Every Day I Have The Blues
C:\Music\Muddy Waters\Muddy Waters-I'm Ready.mp3;Muddy & The Wolf;Muddy & The Wolf
C:\Music\Muddy Waters\Muddy Waters-Kind Hearted Woman.mp3;Every Day I Have The Blues;Every Day I Have The Blues
C:\Music\Muddy Waters\Muddy Waters-Long Distance Call.mp3;Muddy & The Wolf;Muddy & The Wolf
C:\Music\Muddy Waters\Muddy Waters-Mean Red Spider.mp3;Nothin' But The Blues;Nothin' But The Blues
C:\Music\Muddy Waters\Muddy Waters-Rollin' And Tumblin'.mp3;Nothin' But The Blues;Nothin' But The Blues
C:\Music\Muddy Waters\Muddy Waters-Rollin' Stone.mp3;Best Of The Blues, Vol. 2;Best Of The Blues, Vol. 2
C:\Music\Muddy Waters\Muddy Waters-Standing Around Crying.mp3;The Blues As It Was;The Blues As It Was
C:\Music\Muddy Waters\Muddy Waters-Walkin' Thru The Park.mp3;Muddy & The Wolf;Muddy & The Wolf
C:\Music\Muddy Waters\Muddy Waters-You're Gonna Miss Me.mp3;Nothin' But The Blues;Nothin' But The Blues
C:\Music\Mumford & Sons\Mumford & Sons-I Will Wait.mp3;Babel;Babel
C:\Music\Nat King Cole\Nat King Cole - The Christmas Song (Merry Christmas To You).mp3;Now Christmas Traditional;Now Christmas Traditional
C:\Music\Nazareth\Nazareth - Bad Bad Boy.mp3;Greatest Hits;Greatest Hits
C:\Music\Nazareth\Nazareth - Broken Down Angel.mp3;Greatest Hits;Greatest Hits
C:\Music\Nazareth\Nazareth - Hair Of The Dog.mp3;Greatest Hits;Greatest Hits
C:\Music\Nazareth\Nazareth - Holy Roller.mp3;Greatest Hits;Greatest Hits
C:\Music\Nazareth\Nazareth - My White Bicycle.mp3;Greatest Hits;Greatest Hits
C:\Music\Nazareth\Nazareth - Razamanaz.mp3;Greatest Hits;Greatest Hits
C:\Music\Nazareth\Nazareth - Shanghaid 'n' Shanghai.mp3;Greatest Hits;Greatest Hits
C:\Music\Nazareth\Nazareth-Love Hurts.mp3;Hair of the Dog;Hair of the Dog
C:\Music\Nazareth\Nazareth-This Flight Tonight.mp3;Greatest Hits;Greatest Hits
C:\Music\Neil Diamond\Neil Diamond - If You Know What I Mean.mp3;All-Time Greatest Hits;All-Time Greatest Hits
C:\Music\Neil Diamond\Neil Diamond-America.mp3;The Jazz Singer;The Jazz Singer
C:\Music\Neil Diamond\Neil Diamond-Cracklin' Rosie.MP3;His 12 Greatest Hits;His 12 Greatest Hits
C:\Music\Neil Diamond\Neil Diamond-Forever In Blue Jeans.mp3;His Very Best;His Very Best
C:\Music\Neil Diamond\Neil Diamond-Hello Again.mp3;The Jazz Singer;The Jazz Singer
C:\Music\Neil Diamond\Neil Diamond-Kentucky Woman.mp3;Greatest Hits 1966-1992 Disk 1;Greatest Hits 1966-1992 Disk 1
C:\Music\Neil Diamond\Neil Diamond-Song Sung Blue.mp3;The Very Best of Neil Diamond;The Very Best of Neil Diamond
C:\Music\Neil Diamond\Neil Diamond-Sweet Caroline.mp3;His 12 Greatest Hits;His 12 Greatest Hits
C:\Music\Neil Finn\Neil Finn - Fall At Your Feet (acoustic).mp3;live acoustic;live acoustic
C:\Music\Nickelback\Nickelback-Animals.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Far Away.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Fight for All the Wrong Reasons.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Follow You Home.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Gotta Be Somebody.mp3;Dark Horse;Dark Horse
C:\Music\Nickelback\Nickelback-How You Remind Me.mp3;Silver Side Up;Silver Side Up
C:\Music\Nickelback\Nickelback-If Everyone Cared.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Next Contestant.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Photograph.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Rock Star.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Savin' Me.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Side of a Bullet.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Someday.mp3;Someday;Someday
C:\Music\Nickelback\Nickelback-Someone That You're With.mp3;All The Right Reasons;All The Right Reasons
C:\Music\Nickelback\Nickelback-Too Bad.mp3;Silver Side Up;Silver Side Up
C:\Music\Nina Simone\Nina Simone-Cotton-Eyed Joe.mp3;The Blues In The Rain;The Blues In The Rain
C:\Music\Nina Simone\Nina Simone-Forbidden Fruit.mp3;The Blues In The Rain;The Blues In The Rain
C:\Music\Nina Simone\Nina Simone-Gin House Blues.mp3;The Blues In The Rain;The Blues In The Rain
C:\Music\Nitty Gritty Dirt Band\Nitty Gritty Dirt Band-Fishin in the Dark.mp3;More Great Dirt;More Great Dirt
C:\Music\Norman Greenbaum\Norman Greenbaum-Spirit In the Sky.mp3;Wayne's World 2 Soundtrack;Wayne's World 2 Soundtrack
C:\Music\Northern Pikes\The Northern Pikes-She Ain't Pretty.mp3;Snow In June;Snow In June
C:\Music\Oasis\Oasis-The Shock of the Lightning.mp3;Dig Out Your Soul;Dig Out Your Soul
C:\Music\One To One\One To One-Hold Me Now.mp3;Forward Your Emotions;Forward Your Emotions
C:\Music\Opus\Opus-Live Is Life.mp3;Millennium Edition;Millennium Edition
C:\Music\Otis Clay\Otis Clay-Wild Horses.mp3;Paint It Blue: Songs Of The Rolling Stones;Paint It Blue- Songs Of The Rolling Stones
C:\Music\Otis Redding\Otis Redding - Sittin' On The Dock of The Bay.mp3;The Very Best Of;The Very Best Of
C:\Music\Otis Span\Otis Span - Worried Life Blues.mp3;Every Day I Have The Blues;Every Day I Have The Blues
C:\Music\Otis Span\Otis Span-This Is The Blues.mp3;Every Day I Have The Blues;Every Day I Have The Blues
C:\Music\Otis Span\Otis Spann - Worried Life Blues.mp3;The Blues For The Road;The Blues For The Road
C:\Music\Otis Span\Otis Spann-My Home Is In The Delta.mp3;The Blues As It Was;The Blues As It Was
C:\Music\Otis Taylor\Otis Taylor-Stone Pony.mp3;American Roots Songbook - The Blues;American Roots Songbook - The Blues
C:\Music\Pam Tillis\Pam Tillis-All of This Love.mp3;All of This Love;All of This Love
C:\Music\Pam Tillis\Pam Tillis-Betty's Got a Bass Boat.mp3;All of This Love;All of This Love
C:\Music\Pam Tillis\Pam Tillis-Cleopatra, Queen of Denial.mp3;Homeward Looking Angel;Homeward Looking Angel
C:\Music\Pam Tillis\Pam Tillis-Deep Down.mp3;All of This Love;All of This Love
C:\Music\Pam Tillis\Pam Tillis-Don't Tell Me What To Do.mp3;Greatest Hits;Greatest Hits
C:\Music\Pam Tillis\Pam Tillis-Land of the Living.mp3;Homeward Looking Angel;Homeward Looking Angel
C:\Music\Pam Tillis\Pam Tillis-Maybe It Was Memphis.mp3;Greatest Hits;Greatest Hits
C:\Music\Pam Tillis\Pam Tillis-Shake The Sugar Tree.mp3;Homeward Looking Angel;Homeward Looking Angel
C:\Music\Pam Tillis\Pam Tillis-Sunset Red and Pale Moonlight.mp3;All of This Love;All of This Love
C:\Music\Pam Tillis\Pam Tillis-Thunder and Roses.mp3;Thunder & Roses;Thunder & Roses
C:\Music\Pam Tillis\Pam Tillis-When You Walk In The Room.mp3;Greatest Hits;Greatest Hits
C:\Music\Paper Lace\Paper Lace-Billy Don't Be a Hero.mp3;Billy Don’t Be a Hero;Billy Don’t Be a Hero
C:\Music\Pat Benetar\Pat Benatar-Hit Me With Your Best Shot.mp3;Live from Earth;Live from Earth
C:\Music\Pat Benetar\Pat Benatar-Love Is A Battlefield.mp3;Live from Earth;Live from Earth
C:\Music\Pat Benetar\Pat Benatar-We belong.mp3;16 Classic Performances;16 Classic Performances
C:\Music\Patty Loveless\Patty Loveless - I'm That Kinda Girl.mp3;Greatest Hits;Greatest Hits
C:\Music\Patty Loveless\Patty Loveless-Chains.mp3;Greatest Hits;Greatest Hits
C:\Music\Patty Loveless\Patty Loveless-Halfway Down.mp3;When Fallen Angels Fly;When Fallen Angels Fly
C:\Music\Patty Loveless\Patty Loveless-Here I Am.mp3;When Fallen Angels Fly;When Fallen Angels Fly
C:\Music\Patty Loveless\Patty Loveless-I Try To Think About Elvis.mp3;When Fallen Angels Fly;When Fallen Angels Fly
C:\Music\Patty Loveless\Patty Loveless-Lonely Too Long.mp3;The Trouble With The Truth;The Trouble With The Truth
C:\Music\Patty Loveless\Patty Loveless-She Drew A Broken Heart.mp3;The Trouble With The Truth;The Trouble With The Truth
C:\Music\Patty Loveless\Patty Loveless-Tear Stained Letter.mp3;The Trouble With The Truth;The Trouble With The Truth
C:\Music\Patty Loveless\Patty Loveless-You Can Feel Bad.mp3;The Trouble With The Truth;The Trouble With The Truth
C:\Music\Patty Loveless\Patty Loveless-You Don't Even Know Who I Am.mp3;When Fallen Angels Fly;When Fallen Angels Fly
C:\Music\Paul DeLay Band\Paul DeLay Band-Mine All Mine.mp3;The Story of the Blues;The Story of the Blues
C:\Music\Paul Lamb\Paul Lamb-Late One Evening.mp3;Still Got The Blues, Vol:4;Still Got The Blues, Vol-4
C:\Music\Paul Orta\Paul Orta-Babe.mp3;Still Got The Blues, Vol:4;Still Got The Blues, Vol-4
C:\Music\Paul Revere & The Raiders\Paul Revere & The Raiders - Cherokee People.mp3;Kicks;Kicks
C:\Music\Paul Revere & The Raiders\Paul Revere & The Raiders - Kicks.mp3;Kicks;Kicks
C:\Music\Paul Rodgers\Paul Rodgers - Born Under A Bad Sign.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - Good Morning Little School Girl (Part 1).mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - Good Morning Little School Girl (Part 2).mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - I Can't Be Satisfied.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - I Just Want To Make Love To You.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - I'm Ready.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - I'm Your Hoochie Coochie Man.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - Louisiana Blues.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - Muddy Water Blues (Electric Version).mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - Muddy Water Blues [Acoustic].mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - Rollin' Stone.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - She Moves Me.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - She's Alright.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - Standing Around Crying.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Rodgers\Paul Rodgers - The Hunter.mp3;Muddy Water Blues;Muddy Water Blues
C:\Music\Paul Simon & George Harrison\Paul Simon and George Harrison - Here Comes the Sun.mp3;Saturday Night Live;Saturday Night Live
C:\Music\Pearl Bailey\Pearl Bailey-St. Louis Blues.mp3;Ladies Sing The Blues;Ladies Sing The Blues
